Index,Artist,Track,URL,Lyrics,,,,
0,Scotty McCreery,See You Tonight,http://www.lyricsnmusic.com/scotty-mccreery/see-you-tonight-lyrics/29347397,Girl you know I love talking to you on the phone And I could listen to your sweet voice all night long Sometimes I can get by with a sweet dreams baby good night But this time well I dont wanna spend it alone  So Im coming over I hope its alright Listen for me pulling into your drive Look out your window youll see my lights Baby Baby yeah girl I gotta see you tonight The way the breeze is blowing blowing Got me wishing I was holding holding On to you so tight under that porch light But girl I gotta see you tonight tonight tonight Now girl I gotta see you tonight tonight tonight  I gotta couple hundred pictures of your pretty face On my phone on my dash all over the place But I would drive a million miles Just to see that ol little smile in real life And baby its worth the drive Youre worth the drive  So Im coming over I hope its alright Listen for me pulling into your drive Look out your window youll see my lights Baby Baby now girl I gotta see you tonight The way the breeze is blowing blowing Got me wishing I was holding holding On to you so tight under that porch light But girl I gotta see you tonight tonight tonight Now girl I gotta see you tonight tonight tonight whoa  No I dont care what time it is I just gotta get a little moonlight kiss Girl I cant help it when I feel like this Theres only one thing to do Baby Im missing you  Im coming over I hope its alright Listen for me pulling into your drive Look out your window youll see my lights Baby Baby now girl I gotta see you tonight The way the breeze is blowing blowing Got me wishing I was holding holding On to you so tight under that porch light But girl I gotta see you tonight tonight tonight Yea girl I gotta see you tonight tonight tonight yeah  Girl I gotta see you tonight,,,,
1,B.o.B ,HeadBand,http://www.lyricsnmusic.com/b-o-b/headband-lyrics/29512394,Already got one rolled up in my left hand Pussy on my mind tighter than a headband Kush in my lungs got ganja in my sweat glands This shit Im on better than the next strand Than the next strand better than the next strand She head down booty poppin in a handstand I shine bright Ill give your girl a slight tan I make that pussy whistle like the Old Spice man I dont even understand why shed ever want a man If she ever throw it Id catch it like a cornerback Like a cornerback thats an interception You think I give a fuck thats a misconception Oh what a night oh what a night The roof is on fire so what Im high I said oh what a night oh what a night Yeah she a bad bitch all jokes aside  Hey look at baby over there Whats up little mama come here She started talking but I really couldnt hear Until she started dancing like she do it in the mirror whoa Like she do it in the mirror like she do it in the mirror whoa She broke it down started moving like Shakira Like she do it in the mirror  I chop one chop two chop that ass down Chop that ass down chop chop that ass down All I want you to do is just drop that ass down Drop drop that ass down now look back at it  Whistling Dixie Middle school I was getting head on a ten speed Jiggalo blood line pimpin hereditary Black on 28s it remind of February Bet you can fuck with me that would be Neveruary Dead ass rapper should have came with a cemetery I am so cold nigga like Ben  Jerry Fill a nigga deal a nigga kill a nigga obituary My vision blurry these bitches flirtin Ive been drinking all night I think my kidneys hurtin So I closed the curtains on the 62 Her ass would knock your ass out you better stick and move True Chain hang to my dingaling Chain hang chain hang to my dingaling To do a threesome you gotta intervene Her legs so sexy when Im inbetween  Hey look at baby over there Whats up little mama come here She started talking but I really couldnt hear Until she started dancing like she do it in the mirror whoa Like she do it in the mirror like she do it in the mirrorwhoa She broke it down started moving like Shakira Like she do it in the mirror  I chop one chop two chop that ass down Chop that ass down chop chop that ass down All I want you to do is just drop that ass down Drop drop that ass down now look back at it  She do it like she do it in the mirror Be cautious that booty is bigger than it appears She speed it up or slow it down like shes switching gears Im looking for the baddest one here I tell her like do that there do that there You gotta stretch it out girl move that there She bend it over touch her toes when she toot that there Like hut one hut two girl who back there Who back there Im back there I could take a step back and sip my cognac there Picture perfect body thats a Kodak there Now make a nigga feel welcome like a doormats there Im like oh what a night oh what a night The roof is on fire so what Im high Im like oh what a night oh what a night Thats a bad bitch all jokes aside there she go  Hey look at baby over there Whats up little mama come here She started talking but I really couldnt hear Until she started dancing like she do it in the mirror whoa Like she do it in the mirror like she do it in the mirror whoa She broke it down started moving like Shakira Like she do it in the mirror  Chop one chop two chop that ass down Chop that ass down chop chop that ass down All I want you to do is just drop that ass down Drop drop that ass down now look back at it,,,,
2,OneRepublic,Counting Stars,http://www.lyricsnmusic.com/onerepublic/counting-stars-lyrics/29006118,Lately I been I been losing sleep Dreaming bout the things that we could be But baby I been I been prayin hard Said no more counting dollars Well be counting stars Yeah well be counting stars  I see this life Like a swinging vine Swing my heart across the line In my faces flashing signs Seek it out and ye shall find The old but Im not that old Young but Im not that bold And I dont think the world is sold Im just doing what were told I feel something so right But doing the wrong thing I feel something so wrong But doing the right thing I could lie could lie could lie Everything that kills me makes me feel alive  Lately I been I been losing sleep Dreaming bout the things that we could be Baby I been I been prayin hard Said no more counting dollars Well be counting stars Lately I been I been losing sleep Dreaming bout the things that we could be But baby I been I been prayin hard Said no more counting dollars Well be well be counting stars  I feel the love  And I feel it burn Down this river every turn Hope is a four letter word Make that money Watch it burn Old but Im not that old Young but Im not that bold And I dont think the world is sold Im just doing what were told I feel something so wrong But doing the right thing I could lie could lie could lie Everything that drowns me makes me wanna fly  Lately I been I been losing sleep Dreaming about the things that we could be Baby I been I been prayin hard Said no more counting dollars Well be counting stars Lately I been I been losing sleep Dreaming bout the things that we could be But baby I been I been prayin hard Said no more counting dollars Well be well be counting stars  Take that money and watch it burn Sink in the river the lessons I learned  Take that money and watch it burn Sink in the river the lessons I learned  Take that money and watch it burn Sink in the river the lessons I learned  Take that money and watch it burn Sink in the river the lessons I learned  Everything that kills me makes me feel alive  Lately I been I been losing sleep Dreaming bout the things that we could be Baby I been I been prayin hard Said no more counting dollars Well be counting stars Lately I been I been losing sleep Dreaming bout the things that we could be Baby I been I been prayin hard Said no more counting dollars Well be well be counting stars  Take that money and watch it burn Sink in the river the lessons I learned  Take that money and watch it burn Sink in the river the lessons I learned  Take that money and watch it burn Sink in the river the lessons I learned  Take that money and watch it burn Sink in the river the lessons I learned,,,,
3,Passenger,Let Her Go,http://www.lyricsnmusic.com/passenger/let-her-go-lyrics/29538503,Well you only need the light when its burning low Only miss the sun when it starts to snow Only know you love her when you let her go Only know youve been high when youre feeling low Only hate the road when youre missing home Only know you love her when you let her go And you let her go  Staring at the bottom of your glass Hoping one day youll make a dream last But dreams come slow and they go so fast You see her when you close your eyes Maybe one day youll understand why Everything you touch oh it dies  But you only need the light when its burning low Only miss the sun when it starts to snow Only know you love her when you let her go Only know youve been high when youre feeling low Only hate the road when youre missing home Only know you love her when you let her go  Staring at the ceiling in the dark Same old empty feeling in your heart Cause love comes slow and it goes so fast Well you see her when you fall asleep But never to touch and never to keep Cause you loved her too much and you dive too deep  Well you only need the light when its burning low Only miss the sun when it starts to snow Only know you love her when you let her go Only know youve been high when youre feeling low Only hate the road when youre missing home Only know you love her when you let her go And you let her go Oh oh oh no And you let her go Oh oh oh no Well you let her go  Cause you only need the light when its burning low Only miss the sun when it starts to snow Only know you love her when you let her go Only know youve been high when youre feeling low Only hate the road when youre missing home Only know you love her when you let her go  Cause you only need the light when its burning low Only miss the sun when it starts to snow Only know you love her when you let her go Only know youve been high when youre feeling low Only hate the road when youre missing home Only know you love her when you let her go And you let her go,,,,
4,Bastille,Pompeii,http://www.lyricsnmusic.com/bastille/pompeii-lyrics/29478793,I was left to my own devices Many days fell away with nothing to show  And the walls kept tumbling down In the city that we love Great clouds roll over the hills Bringing darkness from above  But if you close your eyes Does it almost feel like Nothing changed at all And if you close your eyes Does it almost feel like Youve been here before How am I gonna be an optimist about this How am I gonna be an optimist about this  We were caught up and lost in all of our vices In your pose as the dust settles around us  And the walls kept tumbling down In the city that we love Great clouds roll over the hills Bringing darkness from above  But if you close your eyes Does it almost feel like Nothing changed at all And if you close your eyes Does it almost feel like Youve been here before How am I gonna be an optimist about this How am I gonna be an optimist about this  Oh where do we begin The rubble or our sins Oh where do we begin The rubble or our sins  And the walls kept tumbling down In the city that we love Great clouds roll over the hills Bringing darkness from above  But if you close your eyes Does it almost feel like Nothing changed at all And if you close your eyes Does it almost feel like Youve been here before How am I gonna be an optimist about this How am I gonna be an optimist about this  If you close your eyes does it almost feel like nothing changed at all,,,,
5,Zendaya,Replay,http://www.lyricsnmusic.com/zendaya/replay-lyrics/29883059,Make it stop Sounds so good I just cant take no more Turn it down turn it up I dont know I dont know Know  But dont stop Dont move just keep it there Right there Keep it right there Oh Keep it right there  I wanna put you on repeat Play you everywhere I go Everywhere I go Play you everywhere I go Put you on repeat Play you everywhere I go  Everywhere I go Everywhere I go   Yeah Wanna put this song on replay I can listen to it all day I can listen to you all day Hear you all day  Yeah Wanna put this song on replay We can start all over again And again Yeah Wanna put this song on re  Dont stop Stop Turn it on turn it up make it louder Yeah I dont wanna miss a single thing I wanna hear every melody Yeah Beating Beating Beating so loud you can Feel it Feel itSee it Beating BeatingBeating Beating for you  I wanna put you on repeat Play you everywhere I go Everywhere I go Play you everywhere I go Put you on repeat Play you everywhere I go  Everywhere I go Play you everywhere I go  Yeah Wanna put this song on replay I can listen to it all day I can listen to you all day Hear you all day  Yeah Wanna put this song on replay We can start all over again and again Yeah When I put this song on re  Give it off  Feel it all crashing down Down down down Im so lost Im so lost in your sound  Yeah Yeah When I Put this song On replay On replay Put this song On replay On replay Listlistening To you all day  To you all day  Yeah Wanna put this song on replay I can listen to it all day I can listen to you all day Hear you all day  Yeah Wanna put this song on replay We can start all over again And again Yeah Wanna put put this song on replay  Yeah Yeah  YeahYeah,,,,
6,John Legend,All Of Me,http://www.lyricsnmusic.com/john-legend/all-of-me-lyrics/29749762,What would I do without your smart mouth Drawing me in and you kicking me out Got my head spinning no kidding I can‰Ûªt pin you down What‰Ûªs going on in that beautiful mind I‰Ûªm on your magical mystery ride And I‰Ûªm so dizzy don‰Ûªt know what hit me but I‰Ûªll be alright  My head‰Ûªs under water But I‰Ûªm breathing fine You‰Ûªre crazy and I‰Ûªm out of my mind  Cause all of me Loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me I‰Ûªll give my all to you You‰Ûªre my end and my beginning Even when I lose I‰Ûªm winning Cause I give you all of me And you give me all of you oh  How many times do I have to tell you Even when you‰Ûªre crying you‰Ûªre beautiful too The world is beating you down I‰Ûªm around through every mood You‰Ûªre my downfall you‰Ûªre my muse My worst distraction my rhythm and blues I can‰Ûªt stop singing it‰Ûªs ringing in my head for you  My head‰Ûªs under water But I‰Ûªm breathing fine You‰Ûªre crazy and I‰Ûªm out of my mind  Cause all of me Loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me I‰Ûªll give my all to you You‰Ûªre my end and my beginning Even when I lose I‰Ûªm winning Cause I give you all of me And you give me all of you Give me all of you oh  Cards on the table we‰Ûªre both showing hearts Risking it all though it‰Ûªs hard  Cause all of me Loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me I‰Ûªll give my all to you You‰Ûªre my end and my beginning Even when I lose I‰Ûªm winning Cause I give you all of me And you give me all of you  I give you all all of me And you give me all of you oh,,,,
7,Zedd,Stay The Night,http://www.lyricsnmusic.com/hayley-williams-and-zedd/stay-the-night-lyrics/29929554,I know that we are upside down So hold your tongue and hear me out I know that we were made to break so what I dont mind  You kill the lights Ill draw the blinds Dont dull the sparkle in your eyes I know that we were made to break so what I dont mind  Are you gonna stay the night Are you gonna stay the night Oh oh oh oh are you gonna stay the night  Are you gonna stay the night Doesnt mean were bound for life So oh oh oh are you gonna stay the night  Are you gonna stay the night Doesnt mean were bound for life So oh oh oh are you gonna stay the night  I am fire gasoline  Come pour yourself all over me Well let this place go down in flames only one more time  You kill the lights Ill draw the blinds Dont dull the sparkle in your eyes I know that we were made to break So what I dont mind  Are you gonna stay the night Are you gonna stay the night Oh oh oh oh are you gonna stay the night  Are you gonna stay the night Doesnt mean were bound for life So oh oh oh are you gonna stay the night Night  Are you gonna stay the night  Are you gonna stay the night Doesnt mean were bound for life So oh oh oh are you gonna stay the night  Are you gonna stay the night Are you gonna stay the night Oh oh oh oh are you gonna stay the night,,,,
8,Katy Perry,Dark Horse,http://www.lyricsnmusic.com/katy-perry/dark-horse-lyrics/29982386,I knew you were You were gonna come to me And here you are But you better choose carefully Cause I‰Ûªm capable of anything Of anything and everything  Make me your Aphrodite Make me your one and only But don‰Ûªt make me your enemy your enemy your enemy  So you wanna play with magic Boy you should know whatcha falling for Baby do you dare to do this Cause I‰Ûªm coming atcha like a dark horse  Are you ready for ready for A perfect storm a perfect storm Cause once you‰Ûªre mine once you‰Ûªre mine There‰Ûªs no going back  Mark my words This love will make you levitate Like a bird Like a bird without a cage But down to earth If you choose to walk away don‰Ûªt walk away  It‰Ûªs in the palm of your hand now baby It‰Ûªs a yes or no no maybe So just be sure before you give it up to me Up to me give it up to me  So you wanna play with magic Boy you should know whatcha falling for Baby do you dare to do this Cause I‰Ûªm coming atcha like a dark horse Are you ready for ready for A perfect storm a perfect storm Cause once you‰Ûªre mine once you‰Ûªre mine There‰Ûªs no going back  She‰Ûªs a beast I call her Karma She eat your heart out Like Jeffrey Dahmer Be careful Try not to lead her on Shawty‰Ûªs heart was on steroids Cause her love was so strong  You may fall in love When you meet her If you get the chance you better keep her She swears by it but if you break her heart She turn cold as a freezer That fairy tale ending with a knight in shining armor She can be my Sleeping Beauty I‰Ûªm gon‰Ûª put her in a coma  Woo Damn I think I love her Shawty so bad I‰Ûªm sprung and I don‰Ûªt care She got me like a roller coaster Turn the bedroom into a fair Her love is like a drug I was tryna hit it and quit it But lil‰Ûª mama so dope I messed around and got addicted   So you wanna play with magic Boy you should know whatcha falling for Baby do you dare to do this Cause I‰Ûªm coming atcha like a dark horse Are you ready for ready for A perfect storm a perfect storm Cause once you‰Ûªre mine once you‰Ûªre mine There‰Ûªs no going back,,,,
9,Daughtry,Waiting For Superman,http://www.lyricsnmusic.com/daughtry/waiting-for-superman-lyrics/30013909,She‰Ûªs watching the taxi driver he pulls away She‰Ûªs been locked up inside her apartment a hundred days She says ‰ÛÏYeah he‰Ûªs still coming just a little bit late He got stuck at the laundromat washing his cape‰Ûù She‰Ûªs just watching the clouds roll by and they spell her name like Lois Lane And she smiles oh the way she smiles  She‰Ûªs talking to angels counting the stars Making a wish on a passing car She‰Ûªs dancing with strangers falling apart Waiting for Superman to pick her up In his arms yeah in his arms yeah Waiting for Superman  She‰Ûªs out on the corner trying to catch a glimpse Nothing‰Ûªs making sense She‰Ûªs been chasing an answer A sign lost in the abyss this Metropolis She says Yeah he‰Ûªs still coming just a little bit late He got stuck at the Five and Dime saving the day‰Ûù She says If life was a movie then it wouldn‰Ûªt end like this Left without a kiss Still she smiles oh the way she smiles yeah  She‰Ûªs talking to angels she‰Ûªs counting the stars Making a wish on a passing car She‰Ûªs dancing with strangers she‰Ûªs falling apart Waiting for Superman to pick her up In his arms yeah in his arms yeah She‰Ûªs waiting for Superman  To lift her up and take her anywhere Show her love and climbing through the air Save her now before it‰Ûªs too late tonight Oh like the speed of light And she smiles  She‰Ûªs talking to angels she‰Ûªs counting the stars Making a wish on a passing car She‰Ûªs dancing with strangers she‰Ûªs falling apart Waiting for Superman to pick her up In his arms yeah oh in his arms yeah She‰Ûªs waiting for Superman  To lift her up and take her anywhere Show her love and climbing through the air Save her now before it‰Ûªs too late tonight She‰Ûªs waiting for Superman,,,,
